...1,ID,DeathOrSampleDate,DateInfo,English,Latin,family,order,location,postal.code,province,Long,Lat,Remark,Surveillance,GenBank,UniqueID,Sample,CT
82,3180807004,2018-08-05,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Tynaarlo,9470,Drenthe,6.571524,53.144701,CoordinatesConfidential_Mask!,DeadWildBirds,MN122232,AS201800101,brain,27.4
83,3180809002,2018-08-08,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Noordenveld,9300,Drenthe,6.47444,53.13835,CoordinatesConfidential_Mask!,DeadWildBirds,MN122233,AS201800102,brain,20.81
84,3180810001,2018-08-08,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Raalte,8100,Overijssel,6.26483,52.38229,CoordinatesConfidential_Mask!,DeadWildBirds,MN122234,AS201800103,brain,22.19
85,3180814001,2018-08-13,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Boekel,5427,Brabant,5.749067,51.595176,CoordinatesConfidential_Mask!,DeadWildBirds,MN122235,AS201800112,brain,16.36
86,3180814002,2018-08-12,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Westland,2291,Z-Holland,4.20754,51.98573,CoordinatesConfidential_Mask!,DeadWildBirds,MN122236,AS201800113,brain,15.97
87,3180815002,2018-08-14,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Noordoostpolder,8300,Flevoland,5.71654,52.67475,CoordinatesConfidential_Mask!,DeadWildBirds,MN122237,AS201800114,brain,22.7
88,3180816001,2018-08-14,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Groningen,9919,Groningen,6.591315,53.225497,CoordinatesConfidential_Mask!,DeadWildBirds,MN122239,AS201800116,brain,17.15
89,3180817002,2018-08-15,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Den haag,2514,Z-Holland,4.23863,52.043454,CoordinatesConfidential_Mask!,DeadWildBirds,MN122240,AS201800118,brain,25.68
90,3180817005,2018-08-16,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Utrechtse heuvelrug,3941,Utrecht,5.406507,52.056037,CoordinatesConfidential_Mask!,DeadWildBirds,MN122241,AS201800120,brain,22.09
91,3180817007,2018-08-15,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Heerenveen,8440,Friesland,5.967691,52.96839,CoordinatesConfidential_Mask!,DeadWildBirds,MN122242,AS201800121,brain,17.8
