sequence_accession,collection_regionname,collection_countryname,collection_subdiv1name,collection_subdiv2name,host_sciname,host_commonname,date_ymd,date_dec,date_ym,date_y,date_tipdate,Organization
LR989894,western europe,germany,berlin,NA,larus crassirostris,black-tailed gull,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493"
MF621054,western europe,france,provence-alpes-côte d'azur,bouches-du-rhône,culex sp.,culex sp.,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MF621055,western europe,france,provence-alpes-côte d'azur,bouches-du-rhône,culex sp.,culex sp.,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MF621056,western europe,france,provence-alpes-côte d'azur,bouches-du-rhône,culex sp.,culex sp.,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MF621057,western europe,france,provence-alpes-côte d'azur,bouches-du-rhône,culex sp.,culex sp.,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956006,western europe,germany,thüringen,gera,strix nebulosa,great grey owl,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956007,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956012,western europe,germany,niedersachsen,cuxhaven,surnia ulula,northern hawk owl,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956019,western europe,germany,niedersachsen,harburg,strix nebulosa,great grey owl,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956023,western europe,germany,mecklenburg-vorpommern,vorpommern-rügen,turdus merula,eurasian blackbird,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956025,western europe,germany,mecklenburg-vorpommern,ludwigslust-parchim,turdus merula,eurasian blackbird,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956026,western europe,germany,mecklenburg-vorpommern,nordwestmecklenburg,turdus merula,eurasian blackbird,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956034,western europe,germany,schleswig-holstein,pinneberg,pyrrhula pyrrhula,eurasian bullfinch,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956037,western europe,germany,sachsen,leipzig,sturnus vulgaris,european starling,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956038,western europe,germany,niedersachsen,aurich,turdus merula,eurasian blackbird,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956039,western europe,germany,nordrhein-westfalen,essen,strix nebulosa,great grey owl,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956044,western europe,germany,sachsen,leipzig,turdus merula,eurasian blackbird,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956053,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956054,western europe,germany,berlin,NA,turdus merula,eurasian blackbird,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956056,western europe,germany,sachsen,NA,turdus merula,eurasian blackbird,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MZ754018,western europe,germany,niedersachsen,schaumburg,turdus merula,eurasian blackbird,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, INNT"
MZ754019,western europe,germany,berlin,NA,turdus merula,eurasian blackbird,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, INNT"
MZ754020,western europe,germany,sachsen-anhalt,halle (saale),turdus merula,eurasian blackbird,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, INNT"
MZ754021,western europe,germany,sachsen-anhalt,stendal,turdus merula,eurasian blackbird,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, INNT"
MK956029,western europe,germany,sachsen,leipzig,turdus merula,eurasian blackbird,NA,NA,NA,2013,2013,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956031,western europe,germany,sachsen,görlitz,pyrrhula pyrrhula,eurasian bullfinch,NA,NA,NA,2013,2013,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956032,western europe,germany,niedersachsen,vechta,pyrrhula erythaca,grey-headed bullfinch,NA,NA,NA,2013,2013,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956047,western europe,germany,sachsen,leipzig,turdus merula,eurasian blackbird,NA,NA,NA,2013,2013,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956048,western europe,germany,sachsen,leipzig,turdus merula,eurasian blackbird,NA,NA,NA,2013,2013,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
OR141549,western europe,germany,nordrhein-westfalen,köln,turdus merula,eurasian blackbird,NA,NA,NA,2013,2013,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141550,western europe,germany,nordrhein-westfalen,köln,erithacus rubecula,european robin,NA,NA,NA,2013,2013,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141551,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2013,2013,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141552,western europe,germany,nordrhein-westfalen,herford,turdus merula,eurasian blackbird,NA,NA,NA,2013,2013,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141553,western europe,germany,niedersachsen,cuxhaven,strix nebulosa,great grey owl,NA,NA,NA,2013,2013,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141546,western europe,germany,niedersachsen,braunschweig,strix nebulosa,great grey owl,NA,NA,NA,2014,2014,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141547,western europe,germany,niedersachsen,braunschweig,strix nebulosa,great grey owl,NA,NA,NA,2014,2014,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
MZ754010,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2015,2015,"Friedrich-Loeffler-Institut, INNT"
MZ754011,western europe,germany,niedersachsen,region hannover,turdus merula,eurasian blackbird,NA,NA,NA,2015,2015,"Friedrich-Loeffler-Institut, INNT"
MZ754012,western europe,germany,sachsen,bautzen,turdus merula,eurasian blackbird,NA,NA,NA,2015,2015,"Friedrich-Loeffler-Institut, INNT"
MZ754013,western europe,germany,sachsen-anhalt,magdeburg,turdus merula,eurasian blackbird,NA,NA,NA,2015,2015,"Friedrich-Loeffler-Institut, INNT"
OP422565,western europe,germany,berlin,NA,tachyeres sp.,steamer-duck sp.,NA,NA,NA,2015,2015,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141529,western europe,germany,niedersachsen,harburg,strix nebulosa,great grey owl,NA,NA,NA,2015,2015,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141530,western europe,germany,sachsen-anhalt,halle (saale),strix nebulosa,great grey owl,NA,NA,NA,2015,2015,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141531,western europe,germany,niedersachsen,grafschaft bentheim,strix nebulosa,great grey owl,NA,NA,NA,2015,2015,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141537,western europe,germany,bayern,münchen,turdus merula,eurasian blackbird,NA,NA,NA,2015,2015,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141538,western europe,germany,berlin,NA,turdidae sp.,thrush sp.,NA,NA,NA,2015,2015,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141539,western europe,germany,mecklenburg-vorpommern,vorpommern-rügen,turdus merula,eurasian blackbird,NA,NA,NA,2015,2015,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141544,western europe,germany,bayern,würzburg,turdus merula,eurasian blackbird,NA,NA,NA,2015,2015,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141595,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2015,2015,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
MZ754022,western europe,germany,thüringen,weimar,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754023,western europe,germany,thüringen,jena,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754024,western europe,germany,thüringen,unstrut-hainich-kreis,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754025,western europe,germany,thüringen,saale-holzland-kreis,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754026,western europe,germany,thüringen,eisenach,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
