tipnames	nuts3_id	lon	lat
MF991888|BD2/17-AT|homo_sapiens|AT|2017-08-05	NA	14.550072	47.516231
PQ785875|Austria/MUW1752114/2024|homo_sapiens|AT|2024-08-30	NA	14.550072	47.516231
PQ785879|Austria/MUW1756483/2024|homo_sapiens|AT|2024-09-10	NA	14.550072	47.516231
PQ772639|USUV-HUN-SM2024|homo_sapiens|HU|2024-11-11	NA	19.503304	47.162494
MK092894|BD1/18-AT|homo_sapiens|AT|2018-06	NA	15.8049558	48.108077
MK092900|BD19/18-AT|homo_sapiens|AT|2018-08	NA	15.8049558	48.108077
PP746541|USUV139/2020/GR|culex_pipiens|EL|2020-09-07	NA	23.1918021	40.621173
PP746542|USUV1229/2022/GR|culex_pipiens|EL|2022-09-28	NA	23.1918021	40.621173
PP746543|USUV39/2020/GR|culex_pipiens|EL|2020-08-24	NA	23.1918021	40.621173
ON813236|305920/2021|culex_pipiens|IT|2021	NA	13.7289167	42.1920119
MK591827|NA|homo_sapiens|IT|2018-08	NA	11.690976	45.7623333
MK598451|NA|passer_montanus|HU|2017-08	NA	19.040235	47.497912
MK598474|NA|turdus_merula|HU|2018-08	NA	19.040235	47.497912
MK006173|NA|homo_sapiens|IT|2018-09	NA	12.989615	41.6552418
MK060109|NA|homo_sapiens|IT|2017-08	NA	12.989615	41.6552418
PP104383|TE2518012|culex_pipiens|IT|2023-08-02	NA	13.3587288	43.462735
PP104384|TE2518112|culex_pipiens|IT|2023-09-22	NA	11.2186396	44.5967607
PP104388|TE2518612|turdus_merula|IT|2023-09-22	NA	12.6216211	42.938004
PP104390|TE2518812|columbidae_sp|IT|2023-08-25	NA	11.690976	45.7623333
OR921095|2023TE1639211|culex_pipiens|IT|2023-08-11	NA	11.2186396	44.5967607
OR921101|2023TE1838411|culex_pipiens|IT|2023-09-08	NA	11.690976	45.7623333
OR757488|1572124|culex_pipiens|IT|2023-07-06	NA	11.690976	45.7623333
OR757492|17404213|culex_pipiens|IT|2023-07-24	NA	11.2186396	44.5967607
OR757493|17404216|culex_pipiens|IT|2023-07-15	NA	7.5153885	45.0522366
OP734248|NA|culex_pipiens|IT|2022-07-29	NA	9.8452433	45.4790671
OP734249|NA|culex_pipiens|IT|2022-08-01	NA	13.3587288	43.462735
OP734251|NA|culex_pipiens|IT|2022-08-01	NA	12.989615	41.6552418
OP734253|NA|culex_pipiens|IT|2022-08-05	NA	11.2186396	44.5967607
OP734254|NA|NA|IT|2022-08-08	NA	10.9807003	43.5671153
OP734255|NA|culex_pipiens|IT|2022-07-27	NA	11.2186396	44.5967607
OP734256|NA|culex_pipiens|IT|2022-07-29	NA	11.690976	45.7623333
OP734258|NA|culex_pipiens|IT|2022-07-27	NA	12.989615	41.6552418
OP734260|NA|culex_pipiens|IT|2022-07-08	NA	13.3587288	43.462735
MN566103|USUV_FTA-10_TI2016|culex_sp|CH|2016-09-29	NA	8.8004529	46.331734
MK598469|NA|panurus_biarmicus|AT|2018-08-20	NA	16.3713095	48.2080696
NA|20VIR5077|turdus_merula|IT|2020-08-21	ITH35	12.3159547	45.440379
NA|20VIR4811|serinus_canaria|IT|2020-08-10	ITH36	11.8782071	45.4105029
NA|22VIR7059-3|turdus_merula|IT|2022-07-20	ITH42	13.2373414	46.0652851
NA|22VIR7086-3|turdus_merula|IT|2022-07-18	ITH35	12.3159547	45.440379
NA|22VIR8403-2|turdus_merula|IT|2022-09-01	ITH42	13.2373414	46.0652851
MK900668|PE-17-Cp|culex_pipiens|IT|2017	ITF13	14.2160321	42.4617624
MK900669|UD-17-Ti|turdus_iliacus|IT|2017	ITH42	13.2373414	46.0652851
KX257039|NA|turdus_merula|IT|2010	ITI33	13.4556559	43.2984479
KX257045|NA|garrulus_glandarius|IT|2011	ITH54	10.9252269	44.647128
